classifier,dataset,fit_time,fold,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro
Classifiers.MLP,quaternion,137.30466604232788,0,0.012002944946289062,0.4888117283950617,0.47994735804636257,0.4883962468649589,0.4888117283950618
Classifiers.MLP,quaternion,122.22129988670349,1,0.017002344131469727,0.4841820987654321,0.478772230169237,0.4842913450932639,0.48418209876543217
Classifiers.MLP,quaternion,120.65995049476624,2,0.017004013061523438,0.47530864197530864,0.47772978587088133,0.5062026444011676,0.47530864197530864
Classifiers.MLP,quaternion,133.72286677360535,3,0.01700305938720703,0.4868827160493827,0.48466640978502873,0.5051201594362013,0.4868827160493827
Classifiers.MLP,quaternion,136.62451434135437,4,0.01500558853149414,0.49112654320987653,0.48579242352076385,0.49580329668438633,0.4911265432098765
Classifiers.MLP,quaternion,138.00982356071472,5,0.013002395629882812,0.4834104938271605,0.46766478606865,0.4960881689345139,0.4834104938271605
Classifiers.MLP,quaternion,134.32000041007996,6,0.017004966735839844,0.4791666666666667,0.4731022550408441,0.4790512520273224,0.4791666666666667
Classifiers.MLP,quaternion,138.56394624710083,7,0.009001970291137695,0.4618055555555556,0.4438287755633398,0.4536664805924919,0.4618055555555556
Classifiers.MLP,quaternion,138.56894826889038,8,0.01000213623046875,0.47646604938271603,0.46250675374484135,0.4720643058897714,0.4764660493827161
Classifiers.MLP,quaternion,137.63673901557922,9,0.011002302169799805,0.47530864197530864,0.45640908096205707,0.47012208314158627,0.47530864197530864
Classifiers.MLP,quaternion,137.39968585968018,10,0.015003442764282227,0.47608024691358025,0.46305656375585763,0.47653141365353313,0.47608024691358014
Classifiers.MLP,quaternion,137.5837287902832,11,0.012001991271972656,0.4849537037037037,0.4787275519832899,0.48475504682525755,0.48495370370370366
Classifiers.MLP,quaternion,137.80177235603333,12,0.010002374649047852,0.4988425925925926,0.48680294194068463,0.5110907970102366,0.49884259259259267
Classifiers.MLP,quaternion,102.94699311256409,13,0.017002582550048828,0.44560185185185186,0.43965400914952446,0.4442626868605866,0.44560185185185186
Classifiers.MLP,quaternion,134.0019245147705,14,0.017004966735839844,0.47878086419753085,0.4749179180843401,0.4781057709955198,0.47878086419753085
Classifiers.MLP,quaternion,128.50569939613342,15,0.018004655838012695,0.4834104938271605,0.4756404750107891,0.49339985284901666,0.4834104938271605
Classifiers.MLP,quaternion,81.52122735977173,16,0.010002374649047852,0.45601851851851855,0.44573009876483993,0.4719104057581609,0.45601851851851855
Classifiers.MLP,quaternion,61.985864877700806,17,0.01000213623046875,0.4737654320987654,0.4731907972498749,0.5058098630077206,0.4737654320987655
Classifiers.MLP,quaternion,62.908069133758545,18,0.009001970291137695,0.45717592592592593,0.4394905736113327,0.4541279105531404,0.4571759259259259
Classifiers.MLP,quaternion,67.26504015922546,19,0.009001970291137695,0.4409722222222222,0.43544281170028615,0.4825799335846642,0.44097222222222227
Classifiers.KNN,quaternion,0.06501555442810059,0,10.866257667541504,0.498070987654321,0.48975341208805584,0.49491782623233466,0.49807098765432095
Classifiers.KNN,quaternion,0.06801581382751465,1,4.561850309371948,,,,
Classifiers.KNN,quaternion,0.0690157413482666,2,2.466853141784668,,,,
Classifiers.KNN,quaternion,0.0690155029296875,3,10.554188013076782,0.49421296296296297,0.48844363820484243,0.49237274803990544,0.4942129629629629
Classifiers.KNN,quaternion,0.06501555442810059,4,10.674214601516724,0.4834104938271605,0.4747714667499772,0.4786388526378819,0.4834104938271605
Classifiers.KNN,quaternion,0.06801700592041016,5,5.012951135635376,,,,
Classifiers.KNN,quaternion,0.07001686096191406,6,4.954937696456909,,,,
Classifiers.KNN,quaternion,0.07601737976074219,7,5.329021692276001,,,,
Classifiers.KNN,quaternion,0.07001590728759766,8,5.446047306060791,,,,
Classifiers.KNN,quaternion,0.10002517700195312,9,11.034293174743652,0.49614197530864196,0.4896718621355396,0.49218435547971473,0.49614197530864196
Classifiers.KNN,quaternion,0.07301688194274902,10,5.42904806137085,,,,
Classifiers.KNN,quaternion,0.07201457023620605,11,5.661096572875977,,,,
Classifiers.KNN,quaternion,0.06701493263244629,12,10.796240091323853,0.5231481481481481,0.5180792230793141,0.5202544904213119,0.5231481481481483
Classifiers.KNN,quaternion,0.062012672424316406,13,5.134981632232666,,,,
Classifiers.KNN,quaternion,0.06101417541503906,14,10.615200519561768,0.501929012345679,0.49464241819245264,0.49760521308836414,0.501929012345679
Classifiers.KNN,quaternion,0.08301758766174316,15,4.836910247802734,,,,
Classifiers.KNN,quaternion,0.5133178234100342,16,8.178152322769165,0.4930555555555556,0.48646316922788,0.4886216970566131,0.4930555555555556
Classifiers.KNN,quaternion,0.15203475952148438,17,5.274177074432373,,,,
Classifiers.KNN,quaternion,0.13503026962280273,18,0.06301426887512207,,,,
Classifiers.KNN,quaternion,0.1180264949798584,19,5.110138177871704,,,,
Classifiers.DT,quaternion,15.043357610702515,0,0.011002302169799805,0.5547839506172839,0.5535246342120164,0.5532466062992678,0.554783950617284
Classifiers.DT,quaternion,15.144380807876587,1,0.018004894256591797,0.5601851851851852,0.5611012959268391,0.5624694560368538,0.5601851851851851
Classifiers.DT,quaternion,15.094369888305664,2,0.017003774642944336,0.5493827160493827,0.5491413513686796,0.549450317472546,0.5493827160493827
Classifiers.DT,quaternion,15.139380693435669,3,0.013003110885620117,0.5416666666666666,0.5398714185216102,0.539276979165399,0.5416666666666666
Classifiers.DT,quaternion,15.202394485473633,4,0.011002063751220703,0.5378086419753086,0.5372833347206818,0.5371240936133392,0.5378086419753088
Classifiers.DT,quaternion,15.310418367385864,5,0.015002965927124023,0.5563271604938271,0.5574937564021688,0.5592236181417347,0.5563271604938271
Classifiers.DT,quaternion,15.308417558670044,6,0.013003349304199219,0.5524691358024691,0.5522740898684178,0.5528839030986129,0.552469135802469
Classifiers.DT,quaternion,15.430445909500122,7,0.009001970291137695,0.5613425925925926,0.5604148641188701,0.5597861743643229,0.5613425925925927
Classifiers.DT,quaternion,15.30641794204712,8,0.010001897811889648,0.5509259259259259,0.5511409800127466,0.5523029159339488,0.550925925925926
